質問,回答,カテゴリ,キーワード,リンク名,立場,信頼度,件名,概要,対応結果
"お世話になります。
監査対応で2点ご依頼です。（※2点目はQA-006384にて対応）
取り寄せ依頼
楽楽精算科目別承認設定一覧をください。
 ","【回答内容】
 
◆ご質問1に関して
支出権限区分ファイルで問題ないでしょうか。ファイルを添付させて頂きますので、ご確認の程、よろしくお願い致します。
なお、以下からもダウンロード可能です。
共同_楽楽精算サポート - ドキュメント
※もし異なるようでしたら、ご連絡頂ければと思います",データ関連,精算,,その他,0.3,①ご依頼：監査対応,"お世話になります。
監査対応で2点ご依頼です。&#xff08;※2点目はQA-006384にて対応&#xff09;
取り寄せ依頼
楽楽精算科目別承認設定一覧をください。
 ","【回答内容】
 
◆ご質問1に関して
支出権限区分ファイルで問題ないでしょうか。ファイルを添付させて頂きますので、ご確認の程、よろしくお願い致します。
なお、以下からもダウンロード可能です。
共同_楽楽精算サポート - ドキュメント
※もし異なるようでしたら、ご連絡頂ければと思います"
出張申請等の承認通知メールの宛先を変更する方法を教えてください,メール通知用アドレスの変更は、マーケティング統括部の担当者から申請を提出する必要があります。担当者にご連絡の上、メールアドレス変更の申請を行ってください。,データ関連,承認通知;出張申請;メール宛先;通知アドレス変更;マーケティング統括部;申請手順;NHSS;自動メール,,申請者,0.95,【問い合わせ】自動メールの宛先修正について　,"ここ最近、出張申請等の承認通知が届かなくなりました。
直近の通知宛先を見たところ、出向中のアドレスに届いていたようです。
2023.4&#xff5e;2024.3まで出向中でしたので、出向が解除されて以降も、その宛先のまま設定されていたようです。
m.koide&#64;nipponham.co.jp　　への宛先変更をお願いできますでしょうか。
 
補足ですが、
出向解除された後も、出向中のアドレス宛てのメールが届くので
NHSSに削除を依頼するものの、システムの都合上　メールが届くような話も説明を受けていました。
ご確認をよろしくお願いいたします。
 
■小出様の設定を確認。
","【回答内容】
小出様の設定情報を確認しましたところ
ご連絡いただきました通り、メール通知用のアドレスが「m.koide&#64;premiumkitchen.co.jp」になっておりました。
 
ご変更につきましては、下記担当者様より幣部までご変更の申請をいただくルールとなっております。
恐れ入りますが、下記ご担当者様のどなた様でも結構ですので、メールアドレス変更の申請を提出いただきますようご連絡をお願いできますでしょうか。
 
&#xff1c;マーケティング統括部様のご担当者様一覧&#xff1e;&#xff08;敬称略&#xff09;
水島.謙/NH_ブランド戦略室/MIZUSHIMA ke.mizushima&#64;nipponham.co.jp;
柏野.穂波/NH_ブランド戦略室/kashino h.kashino&#64;nipponham.co.jp;
黒田.梨沙/NH_ブランド戦略室/kuroda r.kuroda&#64;nipponham.co.jp;"
申請担当者を変更する方法を教えてください。申請書は必要ですか？,申請担当者の変更はメールで対応可能です。新規追加か変更かが分かるように記載し、変更する方のお名前とメールアドレスをお知らせください。,業務手順/運用ルール,申請担当者;担当者変更;申請書;メール連絡;業務手順;運用ルール;担当者追加;担当者情報,,申請者,0.95,【申請関連】【申請担当者変更依頼】申請担当者を変更したい場合、どうすれば良いですか？申請書はありますか？,申請担当者を変更したい場合、どうすれば良いですか&#xff1f;申請書はありますか&#xff1f;,"メールでOK,新規追加か変更か分かるようにし、その方のお名前とメールアドレスをご連絡いただきたい旨お伝え。"
氏名変更になった場合のメールアドレスについて教えてほしい,氏名だけでなくメールアドレスも変更になった場合、表示されたメールアドレスを削除して新メールアドレスを入力しフォントカラーを赤にしていただければOKな旨お伝えしました。,業務手順/運用ルール,申請,,その他,0.3,【申請関連】氏名変更になった場合のメールアドレスについて教えてほしい,氏名変更になった場合のメールアドレスについて教えてほしい,氏名だけでなくメールアドレスも変更になった場合、表示されたメールアドレスを削除して新メールアドレスを入力しフォントカラーを赤にしていただければOKな旨お伝えしました。
承認者経路の変更について確認したい百貨店課の方の承認者が間違っていることに気づき、今すぐ処理しないと支払いができないのですが承認者の変更の申請を今すぐ出せば対応可能ですか？,"経理受託用申請の件でしたのでQA-005026にて会計様へエスカ済みです。
クローズします。",業務手順/運用ルール,申請,,その他,0.3,承認者経路の変更について確認したい,承認者経路の変更について確認したい百貨店課の方の承認者が間違っていることに気づき、今すぐ処理しないと支払いができないのですが承認者の変更の申請を今すぐ出せば対応可能ですか&#xff1f;,"経理受託用申請の件でしたのでQA-005026にて会計様へエスカ済みです。
クローズします。"
新規1名と変更1名の申請を行った場合、最短でいつ反映されますか？,申請の反映日は最短で4月11日となります。申請書にもその旨をご記載ください。,業務手順/運用ルール,申請;新規登録;変更申請;反映日;最短;申請書;業務手順;運用ルール,,申請者,0.95,申請の反映日（最短）について,新規&#xff11;名と変更&#xff11;名の申請を上げたいが、最短でいつ反映か。,最短で4月11日反映だとお伝え。申請書の反映日にそのように記載いただく。QA-002198にて対応
"別件で、1点お伺いしたいことがございます。
Connectの影響で、新規取引マスタ申請がストップされているかと存じますが、
再開時期が決まっておりましたら、ご教示いただけますと幸いです。
 
お忙しい中恐れ入りますが、ご確認の程よろしくお願い申し上げます。","【回答内容】
新規取引先マスタの申請につきましては、4/1　7:00を持ちまして凍結解除されております。
また、ご提出いただいた申請書につきましては、
申し訳ありませんが、Step2対象事業所の取引先マスタ(BP)につきましては、
Intra-martでご申請頂く運用に変わっておりますので、こちらでご対応頂けますでしょうか。
 
以上となります。",その他,申請,,その他,0.3,【申請（その他：楽楽の申請ではない）】新規取引先マスタ申請につきまして,"別件で、1点お伺いしたいことがございます。
Connectの影響で、新規取引マスタ申請がストップされているかと存じますが、
再開時期が決まっておりましたら、ご教示いただけますと幸いです。
 
お忙しい中恐れ入りますが、ご確認の程よろしくお願い申し上げます。","【回答内容】
新規取引先マスタの申請につきましては、4/1　7:00を持ちまして凍結解除されております。
また、ご提出いただいた申請書につきましては、
申し訳ありませんが、Step2対象事業所の取引先マスタ(BP)につきましては、
Intra-martでご申請頂く運用に変わっておりますので、こちらでご対応頂けますでしょうか。
 
以上となります。"
楽々清算へのユーザーIDを申請する方法を教えてください。,楽々清算へのユーザーID申請については、サポートデスクにご連絡ください。窓口名：06-7525-3143（音声ガイダンスの後「3番」を選択）、またはメール（rakurakuseisan.supportdesk@nipponham.co.jp）でお問い合わせいただけます。詳細は「サポートデスクの対応範囲と連絡先 (sharepoint.com)」をご参照ください。,その他,楽々清算;ユーザーID;申請;サポートデスク;連絡先;申請方法;問い合わせ;対応範囲,サポートデスクの対応範囲と連絡先 (sharepoint.com),申請者,0.95,楽々清算へのユーザーID申請について確認したい,"添付の通り申請いたします。ご確認ご対応のほどお願い申し上げます。
楽々清算へのユーザーID申請について確認したい。
Excelの添付ファイルあり。",メールで下記を案内いたしました。窓口名&#xff1a;06-7525-3143　⇒音声ガイダンスの後「&#xff13;番」を選択連絡先&#xff1a;rakurakuseisan.supportdesk&#64;nipponham.co.jpページURL&#xff1a;サポートデスクの対応範囲と連絡先 (sharepoint.com) 
ルートサービスの楽楽精算に申請する際、IDはUから始まるものを使用して問題ないですか？また、口座情報は引き継がれますか？,ルートサービスの楽楽精算の申請時、IDはUから始まるものを使用して問題ありません。口座情報については、申請時に改めて登録していただく必要があります。,業務手順/運用ルール,楽楽精算;ルートサービス;申請;ID;Uから始まる;口座情報;デイリーネット;出向,,申請者,0.95,楽楽精算の申請について確認したい,"デイリーネットからの出向の方がルートサービスの楽楽精算に入れないため、申請をしようとしているが
IDはUからはじまるものを使いまわしで間違いないか、口座情報は引き継がれるか・村松.洋明・永野.稔",&#xff08;藤岡さんフォロー&#xff09;IDはUからはじまるもので間違いないことをお伝え口座情報も申請していただく必要がある旨をお伝えし、終話
出向のためユーザIDを削除した場合、戻ってきた際には毎回口座の申請書を提出する必要がありますか？,ユーザID削除の申請を出していただいた場合、口座も自動的に削除される運用になっています。出向が多くても、すぐに戻ってくることが分かっている場合は、社内運用ルールで問題がなければ削除せずそのまま残しておいてもシステム的には問題ありません。,業務手順/運用ルール,ユーザID削除;出向;口座申請書;口座削除;社内運用ルール;申請手順;システム運用;戻ってきた場合,,申請者,0.95,出向のためユーザID削除し、戻ってきた場合は毎回口座の申請書も提出が必要か,出向のためユーザID削除し、戻ってきた場合は毎回口座の申請書も提出が必要か,"ユーザID削除の申請を出していただいた場合、口座も自動的に削除される運用になっていることをご説明。
出向が多くても、わりとすぐに戻ってくることが分かっている場合、社内運用ルールで問題がなければそのまま削除せずおいておいてもシステム的には問題がないことをご説明しました。⇒納得いただき終話。"
中日本フード㈱からグループ監査役室に異動した。口座登録がないため申請するよう指示があったが、口座申請書はどこに提出すればよいか。,CCに上司を含めて、楽楽精算サポートデスク宛てに送付頂くよう依頼。,業務手順/運用ルール,申請,,その他,0.3,口座申請書はどこに提出すればよいか,中日本フード㈱からグループ監査役室に異動した。口座登録がないため申請するよう指示があったが、口座申請書はどこに提出すればよいか。,CCに上司を含めて、楽楽精算サポートデスク宛てに送付頂くよう依頼。
"楽楽精算で個人立替口座がないから申請しろとのことだがどうすればよいか教えてほしい
＜状況ヒアリング＞・4月入社です。・立替口座の登録がないとのことでメールがきたが、よくわからない…",NHBAの各社担当者様をご案内し、口座申請してほしいこと、エラーになったとメールが来たことを連絡し申請依頼いただくようご案内しました。,データ関連,精算;申請,,その他,0.3,楽楽精算で個人立替口座がないから申請しろとのことだがどうすればよいか教えてほしい,"楽楽精算で個人立替口座がないから申請しろとのことだがどうすればよいか教えてほしい
&#xff1c;状況ヒアリング&#xff1e;・4月入社です。・立替口座の登録がないとのことでメールがきたが、よくわからない…",NHBAの各社担当者様をご案内し、口座申請してほしいこと、エラーになったとメールが来たことを連絡し申請依頼いただくようご案内しました。
みちのく銀行（0118）の口座情報を一括で変更するため、現在登録されているデータを取得する方法を教えてください。,S4トランザクション「ZFI0053_01 仕入先コード一覧」を使用して、みちのく銀行（0118）で登録されているデータを出力できます。選択条件として、会社コード（4桁）、仕入先コード（U*）、最大該当数（999999999）、銀行コード（0118*）を指定してください。,データ関連,みちのく銀行;銀行コード;口座情報;一括変更;S4トランザクション;ZFI0053_01;仕入先コード一覧;データ出力,,申請者,0.95,一括口座変更について,"個人立替の口座情報のことで教えていただきたいです。
今年の&#xff11;月にみちのく銀行が合併し、銀行コードが変更になってしまいました。
先月までは移行期間のため気がつかなかったのですが、今月から口座情報相違で連絡きており
変更していないことに気がつきました。対応が遅れてしまい、大変申し訳ございません。
一括で変更を行いたいため、現在みちのく銀行&#xff08;0118&#xff09;で登録されているデータをいただくことは可能でしょうか。
ご確認よろしくお願いいたします。
 ","ユーザ様に以下内容のメール送信
&#xff1d;&#xff1d;&#xff1d;
【回答内容】
ご希望のデータは、S4にてお調べいただくことが可能です。
以下のトランザクションを用意しておりますので、出力しご確認いただけますでしょうか。
■S4トランザクション&#xff1a;ZFI0053_01　仕入先コード一覧

 
選択条件&#xff1a;
会社コード&#xff1a;****　←会社CD4桁を入力お願いします。➡0079
仕入先コード&#xff1a;U*　←従業員を意味します。
最大該当数&#xff1a;999999999
★今回ですと、「みちのく銀行&#xff08;0118&#xff09;」のみですので、以下も条件に追加ください。
銀行コード&#xff1a;0118*　←みちのく銀行〇〇支店、△△出張所など、紐づく支店名のデータを抽出します
 
"
加工事業部から研修で出向や異動する新入社員の申請書はどのように作成すればよいですか？,各社で環境が分かれているため、申請書の承認者をNHファクトリーやファクトリーの方に設定する場合は、承認者もその環境に登録が必要です。過去の異動事例では、NHのみでユーザ登録されていたことがあります。,業務手順/運用ルール,申請書;新入社員;加工事業部;研修;出向;異動;承認者;ユーザ登録;NHファクトリー;諫早プラント,,申請者,0.95,【申請関連】加工事業部から研修で出向と異動する新入社員がいるので教えてほしい,"加工事業部から研修で出向と異動する新入社員がいるので教えてほしい。どのように申請書を作成すればよいか
&#xff1c;状況ヒアリング&#xff1e;・この&#xff14;月に入った。ユーザIDもまだ持っていない。・加工事業部から、半年間NHファクトリーに行き、そのあと諫早プラントに行くメンバーと、逆パターンのメンバーがいる。・NHファクトリーに行っても、承認者はNHの承認者を入れたい",ユーザ様に以下をご案内。・各社で環境が分かれているため、NHファクトリーでNHの方が承認者になりたい場合、逆にNHの環境でファクトリーの方が承認者になる場合、いずれの場合も承認者の方もその環境に登録が必要。・去年、同様の異動をされた方を&#xff12;名確認⇒NHのみでユーザ登録されていたことをご案内
新規の派遣社員が入るときの申請書の作成方法を教えてほしい,画面共有いただきサポート。61061372H新規の方でも、社員マスタの読み込みを行ったうえで直接入力いただくことをご案内済。⇒納得いただき終話。派遣社員とのことで、フリー１と２は人事部門にご確認いただくようお願い。,業務手順/運用ルール,申請,,その他,0.3,【申請関連】新規の派遣社員が入るときの申請書の作成方法を教えてほしい,新規の派遣社員が入るときの申請書の作成方法を教えてほしい,画面共有いただきサポート。61061372H新規の方でも、社員マスタの読み込みを行ったうえで直接入力いただくことをご案内済。⇒納得いただき終話。派遣社員とのことで、フリー&#xff11;と&#xff12;は人事部門にご確認いただくようお願い。
出向される方の申請方法を教えてください,出向者の申請は、NHFと諫早P側で申請書を記載して提出する必要があります。ユーザ申請も可能です。必要なことは先方も理解されていますが、念のため先方へ一報入れていただくと良いです。,業務手順/運用ルール,出向者;申請方法;NHF;諫早P;申請書;ユーザ申請;提出手順;運用ルール,,申請者,0.95,出向される方の申請について確認したい,出向される方の申請について確認したい,受け入れ出向者か→いや、受け入れ先は諫早PとNHF。申請はユーザ申請もあるのか→ある。こちらの場合であれば、NHFと諫早P側で申請書を記載して提出板ただく必要があると案内。先方に連絡しておいた方が良いのか→必要なことは先方もご理解は頂いていると思うが、念のため、一報入れて頂いてもよいと思うと案内→了解いただく。
所属部署と兼任部署を合わせて4部署の場合、申請方法を教えてください。,1つのアカウントには最大3部署まで設定可能です。4部署目を追加する場合は、新たにURA～の番号でアカウントを作成し、以下の手順で申請してください。①intra-martへログインし、「スマートITユーザー申請（特別）新規申請」を作成します。②intra-martで採番された「URA～」のIDで楽楽精算申請ユーザー申請書を提出してください。詳細は各マニュアルをご参照ください。,業務手順/運用ルール,所属部署;兼任部署;申請方法;アカウント作成;スマートITユーザー申請;intra-mart;URA番号;楽楽精算,intra-mart ログイン方法;スマートITユーザー申請 (sharepoint.com);楽楽精算申請書記入マニュアル.pdf,申請者,0.95,【お問い合わせ】所属部署＋兼任部署が４つの場合の申請について,"標記の件につきまして、現在登録されているアカウントに追加で申請を行おうとしたのですが残り&#xff12;部署申請書に入らない状態です。
この場合の申請方法をご教授いただきたく連絡させていただきました。
 
ご教授いただけますと幸いです。","

【回答内容】所属部署&#xff0b;兼務部署合わせて計&#xff14;部署に設定をご希望と拝見しました。通常であれば所属部署を所属&#xff11;に、兼務部署を所属&#xff12;に、さらに兼務なさる場合は所属&#xff13;を設定していただきますが、&#xff11;つのアカウントに対し最大&#xff13;部署までですので、&#xff14;部署目を設定する場合は、URA~の番号で新たにアカウントを作成いただく必要がございます。以下の手順で申請をお願い致します。&#xff08;社内でイントラマートの申請担当者がいらっしゃいましたらご相談ください&#xff09;①スマートITユーザー申請&#xff08;特別&#xff09;&#xff08;1&#xff09;intra-martへログインします。&#xff1e;ログイン方法&#xff1a;intra-mart ログイン方法　　&#xff08;2&#xff09;以下マニュアル内にある「スマートITユーザー申請&#xff08;特別&#xff09;新規申請」を参照し申請を作成します。&#xff1e;申請手順&#xff1a;スマートITユーザー申請 (sharepoint.com)≪記入要領≫※ユーザー情報欄&#xff1a;例　「川村 雅人&#xff08;楽楽&#xff23;&#xff11;&#xff12;&#xff13;&#xff14;&#xff09;」次に以下の手順で申請をお願い致します。&#xff08;スマートITユーザー申請&#xff08;特別&#xff09;の承認待ちでも申請可&#xff09;②楽楽精算申請ユーザー申請書を提出します。　申請手順&#xff1a; 【楽楽精算】申請書記入マニュアル.pdf　 ※intra-martで採番された「URA&#xff5e;」のIDで申請をしてください　 ※社員名は「ユーザー氏名&#xff08;&#xff23;****&#xff09;」を入力してください　　&#xff08;****は担当されている事業所CD&#xff09;　　 ※E-MAILは個人用IDと同じメールアドレスを入力してください&#xff08;「*.rakuraku****&#64;~」のダミーアドレスは記入NG&#xff09;以上となります。ご不明な点等ございましたら、下記問合せ先までご連絡ください。
 
※藤岡さん・平井さんに相談


"
4/1に部署異動をしたが前の部署の承認依頼があがってくるが承認してはいけないか,"（平田さん、野口さんフォロー）
反映前に申請をあげられた可能性があることをお伝え
差戻をしていただくようご案内
ご納得いただき終話",データ関連,,,その他,0.3,部署異動をしたが前の部署の承認依頼が来る,4/1に部署異動をしたが前の部署の承認依頼があがってくるが承認してはいけないか,"&#xff08;平田さん、野口さんフォロー&#xff09;
反映前に申請をあげられた可能性があることをお伝え
差戻をしていただくようご案内
ご納得いただき終話"
"前所属「検査分析課」で申請していた出張申請を選択すると
エラーが表示される。
 
","◆ヒアリング
異動なさったのは、いつですか。　⇒3/16です。
 
◆申請を確認すると
3/26前部署での申請になっていることを確認。　　⇒高木様より3/16異動分の申請に漏れており4.4に新部署設定が反映されたと仰せ。
 
⇒前部署での出張申請は使用できませんので、改めて新部署で出張申請を申請してくださいとお伝えし終話。",システム操作,精算;申請,,その他,0.3,【出張精算】前所属で承認済みの出張申請がエラーになる,"前所属「検査分析課」で申請していた出張申請を選択すると
エラーが表示される。
 
","◆ヒアリング
異動なさったのは、いつですか。　⇒3/16です。
 
◆申請を確認すると
3/26前部署での申請になっていることを確認。　　⇒高木様より3/16異動分の申請に漏れており4.4に新部署設定が反映されたと仰せ。
 
⇒前部署での出張申請は使用できませんので、改めて新部署で出張申請を申請してくださいとお伝えし終話。"
大阪に承認依頼が飛ぶはずの申請が東京に飛ぶのはなぜですか？,NH本体の承認フロー値が一括で東京承認フローに変更され、NHBA経理受託の全事業所管轄が東京に移管されたためです。,データ関連,承認フロー;大阪;東京;NH本体;NHBA;経理受託;事業所管轄;一括変更,ワンノート：【重要】（2025/6/3〜）NH本体の承認フロー値に関して,申請者,0.95,【お問い合わせ】登録されている承認フローについて,現在、承認処理が現在大阪と東京の西日本と東日本で分かれていると思いますが、今申請を上げた大阪に承認依頼が飛ぶはずの申請が東京に飛んでいます。これは何か不具合でしょうか。,"ワンノート参照&#xff1a;【重要】&#xff08;2025/6/3〜&#xff09;NH本体の承認フロー値に関して
本日6/3に会計様にて東京承認フローに一括変更される予定。⇒おそらく実施された。本日6/3よりNHのNHBA経理受託の全事業所管轄が、東京に移管されることをお伝え。ご納得いただき、終話。"
楽楽精算の申請書作成ツールで、変更箇所のセルが黄色に変わらない場合の原因は何ですか？,申請書作成ツールでセルの塗りが黄色になるのは、特定の操作（会社名選択、社員マスタ読み込み後の区分選択、区分「変更」選択時に社員コード入力し変更箇所の値を消した場合）に限られます。値を消したときは黄色になりますが、値を入力すると黄色は消えます。また、黄色のセルが残っていると申請書を作成できません。変更項目はフォントカラーを赤色にして提出してください。,業務手順/運用ルール,楽楽精算;申請書作成ツール;セルの色;黄色;区分変更;社員マスタ;申請書;操作方法,,申請者,0.95,【申請関連】楽楽について教えてください,"家で会社のパソコンで楽楽精算を入力すると、
変更箇所が黄色に変わりません。
なぜでしょうか&#xff1f;他の部分は問題ないと思います。","ユーザ様に以下内容のメール送信&#xff1d;&#xff1d;&#xff1d;
【回答内容】
申請書作成ツールでセルの塗りの色が黄色になるのは以下の時です。
❶ツールを開いたときの「使い方」シートの会社名選択部分と、「申請書」シートのヘッダ部分
❷社員マスタを読み込み、「申請書」シートで「区分」を選択したとき
　　&#xff0a;選択した区分が削除の場合、申請書の右の方の色の付き方が新規・変更と異なります
❸区分「変更」を選択し、D列に社員コードを入力、変更箇所のセルの入力値を消したとき
　　&#xff0a;例えば、承認経路を変更するためX列・Y列の値を消したとき下図のようになります。

 
変更しようと値を消したときは塗が黄色になりますが、値を入れてしまうと塗はなくなります。
また、黄色の状態のセルがある場合、申請書を作成することができません。
&#xff08;未入力チェックでひっかかります&#xff09;

 
なお、変更された項目は、フォントカラーを赤色に変えてご提出ください。
 
上記で回答になっておりますでしょうか。
もし、他にお気づきの点がございましたらご連絡いただけますと幸いです。"
申請書作成時にセルが黄色くなるので教えてほしい,画面共有いただきサポート。15145596H。申請書で塗が黄色になっているところを一つずつ解消させ、承認者については結果的に第1承認者で終わるような精算だったとしても第三承認まで設定が必要な旨ご説明。口座申請については、人事部門からバラバラ13通連携されてきたので、このままではサポートデスクが大変だろうから、がんばって１つにまとめ、あわせて申請しますと仰せで終話しました。,業務手順/運用ルール,申請,,その他,0.3,【申請関連】申請書作成時にセルが黄色くなるので教えてほしい,申請書作成時にセルが黄色くなるので教えてほしい,画面共有いただきサポート。15145596H。申請書で塗が黄色になっているところを一つずつ解消させ、承認者については結果的に第1承認者で終わるような精算だったとしても第三承認まで設定が必要な旨ご説明。口座申請については、人事部門からバラバラ13通連携されてきたので、このままではサポートデスクが大変だろうから、がんばって&#xff11;つにまとめ、あわせて申請しますと仰せで終話しました。
申請書作成ツールの使い方を教えてください,申請書作成ツールは、各社担当者様のみが申請を受け付けることができます。追加で担当者を登録する場合は、担当者から楽楽精算サポートデスクに追加者の詳細を記載したメールを送付してください。詳細な操作方法については担当部門にお問い合わせください。,業務手順/運用ルール,申請書作成ツール;使い方;業務手順;運用ルール;担当者;申請;楽楽精算サポートデスク;追加者,,申請者,0.65,【お問い合わせ】申請書作成ツールの使用方法について,"現在、申請書作成ツールを使って出向戻りの方の申請をしようとしています。
ただ、「使い方」シートを読んでも使い方がわかりません。サポートしていただけますか。",申請書作成ツールの使い方について説明。ただ、スポーツ事業推進部の各社担当者様は、上葉様のみのため、気になりヒアリング。「3.16の異動で担当だった上葉さんが経営企画部に異動した。その各社担当者を引き継ごうと考えており、申請書作成ツールの使い方をお聞きした」と仰せ。⇒申請書ツールを作成いただいても各社担当者様からしか受付できないことをお伝え。　もし、追加なさる場合は、上葉様から楽楽精算サポートデスクに追加者の詳細を記載したメールをいただきたい旨をお伝え。　「承知しました。上葉さんに連絡してみます」と仰せになり終話。■追記既にスポーツ事業推進部の社員マスタは、上葉様から坂口様へお渡しが済んでいるとのこと。&#xff08;今回、申請書の作成方法がお分かりにならなかったそう&#xff09;
申請書作成ツールで既存の設定を参考に新規登録しようとした際、社員コードを入力すると既存設定が消えてしまう場合の対処方法を教えてください。,2行目に既存の社員コードを入力して設定を自動反映させた後、1行目に新規登録したい社員の社員コードを入力してください。1行目が未設定になるので、2行目の設定内容を必要な部分だけコピーし、1行目に貼り付けてください。最後に2行目は空白に戻し、1行目のみを残してください。不要な空白行は削除して提出してください。,業務手順/運用ルール,申請書作成ツール;社員コード;自動反映;設定コピー;新規登録;入力手順;空白行;運用ルール,,申請者,0.95,【お問い合わせ】申請書作成ツールの入力サポートをお願いしたい,"現在、社外取締役1名小山さんを新規登録しようとしています。
既に登録されている河野さんと同設定にしたいので社員コードと河野さんを入力し、設定が自動反映されたあと、
同じ行に小山さんの社員コードを入力すると自動反映され河野さんの設定が消えてしまいます。
どうしたらいいですか。
 ","■リモート実行あくまで入力操作例ですが、下記を案内。2行目に河野様の社員コードを入力。⇒設定が自動反映される1行名に小山様の社員コードを入力⇒未設定になるので、2行目の河野さんの設定を必要な部分だけコピー⇒小山様の設定に値貼り付けしていただく。最後に2行目の河野様は不要になるので白紙に戻し、1行目の小山様のみの状態にする。
ご納得いただきましたが、手順をお話しつつ、塩崎様手入力で3行目に小山様の内容を入力していらっしゃったため、1.2行目は空白で提出しますと仰せになり終話。※基本的には、不要な空白行は消してお送りいただきたい旨はお伝え済み。"
口座申請書の記載方法を教えてください,口座申請書はローカルに保存されています。マクロが無効になっている場合は有効に変更してください。メール送付時には申請書に記載した上長をCCに含めてください。,業務手順/運用ルール,口座申請書;申請手続;記載方法;マクロ;ローカル保存;メール送付;上長;CC,,申請者,0.95,【申請手続】口座申請書の記載方法を教えてほしい,【申請手続】口座申請書の記載方法を教えてほしい,口座申請書はローカルに保存している。マクロが無効になっていたので有効に変更。メール送付時には申請書に記載した上長をCCに含んでいただくよう依頼。
SN44044760H申請書の記入方法を教えてください,SN44044760H申請書の記入方法と、どこに記入した内容がどのように反映されるかについてご説明しました。詳細な記入方法や修正箇所については、画面共有でサポートを行いました。,業務手順/運用ルール,申請書;SN44044760H;記入方法;業務手順;運用ルール;修正箇所;申請;画面共有,,申請者,0.95,【申請関連】どう書けばいいのか分からないから教えてほしい,どう書けばいいのか分からないから教えてほしい,画面共有いただきサポート。SN44044760H申請書の記入方法と、どこに書いたらどうなるのか&#xff08;今回の修正箇所と修正することによりどうなるのか&#xff09;をご説明しました。⇒納得いただき終話
楽楽精算サポート内で特例申請書の格納場所はどこですか？,楽楽精算サポートのマニュアル内、カテゴリ：標準申請書に格納されています。,システム操作,楽楽精算;特例申請書;格納場所;マニュアル;標準申請書;サポート;申請書;操作方法,楽楽精算サポートマニュアル,申請者,0.95,【お問い合わせ】特例申請書の格納場所について,特例申請書の格納場所を探しています。楽楽精算サポート内を探したのですが、見当たらなくて場所を教えていただきたいです。探し不足でしたらすみません。,楽楽精算サポート⇒マニュアル⇒カテゴリ&#xff1a;標準申請書内の順にご案内。追加で質問①承認者印は部長職が申請者の場合、自分の印鑑でよいでしょうか。　⇒利用説明には、「※日本ハム㈱の従業員は部室長の押印が必要になります。」と記載ありますので問題ないかと存じます。②発生事由がリストにない場合は、支出内容や備考欄に詳細を記載してもよいでしょうか。　⇒ご記載くださいと案内し終話。
楽楽精算で手土産の申請時に添付する申請書はどこにありますか？,楽楽精算サポートサイトのマニュアル内、カテゴリ：標準申請書に格納されています。,システム操作,楽楽精算;手土産;申請書;標準申請書;サポートサイト;マニュアル;添付書類;申請方法,楽楽精算サポートサイト;マニュアル,申請者,0.95,【交際費精算】手土産の申請時に添付する申請書はどこにありますか,先日、手土産を購入しました。手土産の内容を申請する際に添付する申請書は、どこに格納されていますか。楽楽精算サポートサイトを開いて探したのですが、見当たりませんでしたので電話しました。,楽楽精算サポートサイト⇒マニュアル⇒カテゴリ&#xff1a;標準申請書までを案内。申請方法等にご不明点はないですかとお聞きすると問題ないと仰せ。躓く・不明な点がありましたらご連絡くださいとお伝えして終話。
"楽楽精算の取引マスターを申請したいのですが
申請書の保存場所が分かりませんでした。
 
お手数ですが、教えていただけないでしょうか？
 
よろしくお願いします。","2025/05/16 (金) 16:05　ユーザ様に以下内容のメール送信＝＝＝
お問合せ頂きました「取引マスター」の件につきまして、
こちらは「支払依頼」で選択する支払先をご登録されたいと理解しましたが
認識合ってますでしょうか。
 
上記の場合、楽楽精算で表示される支払先は、
統合マスタに登録されたデータ ⇒ S/4 ⇒ 楽楽精算
という流れでデータ連携されますので、
恐れ入りますが、統合マスタよりご申請いただけますでしょうか。
 
■参考FAQ：
支払依頼の「支払先」を追加または削除したい場合",業務手順/運用ルール,精算;申請,,その他,0.3,楽楽精算　取引マスターの件,"楽楽精算の取引マスターを申請したいのですが
申請書の保存場所が分かりませんでした。
 
お手数ですが、教えていただけないでしょうか&#xff1f;
 
よろしくお願いします。","2025/05/16 (金) 16:05　ユーザ様に以下内容のメール送信&#xff1d;&#xff1d;&#xff1d;
お問合せ頂きました「取引マスター」の件につきまして、
こちらは「支払依頼」で選択する支払先をご登録されたいと理解しましたが
認識合ってますでしょうか。
 
上記の場合、楽楽精算で表示される支払先は、
統合マスタに登録されたデータ ⇒ S/4 ⇒ 楽楽精算
という流れでデータ連携されますので、
恐れ入りますが、統合マスタよりご申請いただけますでしょうか。
 
■参考FAQ&#xff1a;
支払依頼の「支払先」を追加または削除したい場合"
特例申請書の場所を教えてください,特例申請書はサポートサイトのカテゴリ「標準申請書」から開いてください。,業務手順/運用ルール,特例申請書;申請書;サポートサイト;標準申請書;場所;業務手順;運用ルール,,申請者,0.95,特例申請書の場所を教えてほしい,特例申請書の場所を教えてほしい,サポートサイトのカテゴリ&#xff1a;標準申請書から開いていただくよう依頼
